date,price,service,address
2018-11-02,2.65,7-Eleven,"1801 San Pedro Dr NE, Albuquerque, NM"
2018-11-02,2.89,Gibson FoodMart,"5501 Gibson Blvd SE, Albuquerque, NM"
2018-11-02,2.84,Chevron,"2124 San Mateo Blvd NE, Albuquerque, NM"
2018-11-02,2.68,Smith's,"1313 Carlisle Blvd NE, Albuquerque, NM"
2018-11-02,2.79,Shell,"2401 San Mateo Blvd NE, Albuquerque, NM"
2018-11-02,2.59,Premier,"1734 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-02,2.66,Phillips 66,"900 Eubank Blvd NE, Albuquerque, NM"
2018-11-02,2.72,Texaco,"845 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-02,2.76,Chevron,"1 Hotel Cir NE, Albuquerque, NM"
2018-11-02,2.68,Juan Tabo Food Mart,"1300 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-02,2.68,7-Eleven,"10324 Menaul Blvd NE, Albuquerque, NM"
2018-11-02,2.72,Phillips 66,"900 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-02,2.59,Valero,"1715 Moon St NE, Albuquerque, NM"
2018-11-02,2.63,7-Eleven,"9215 Indian School Rd NE, Albuquerque, NM"
2018-11-02,2.44,Sam's Club,"300 Eubank Blvd NE, Albuquerque, NM"
2018-11-02,2.62,7-Eleven,"10320 Candelaria Rd NE, Albuquerque, NM"
2018-11-02,2.63,Phillips 66 ,"2934 Eubank Blvd NE, Albuquerque, NM"
2018-11-02,2.69,Phillips 66,"12900 Indian School Rd NE, Albuquerque, NM"
2018-11-02,2.65,Phillips 66,"1331 Wyoming Blvd NE, Albuquerque, NM"
2018-11-02,2.67,Phillips 66,"1200 Wyoming Blvd NE, Albuquerque, NM"
2018-11-02,2.69,Shell,"2932 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-02,2.55,Valero,"10315 Central Ave NE, Albuquerque, NM"
2018-11-02,2.76,Giant,"5200 Menaul Blvd NE, Albuquerque, NM"
2018-11-02,2.79,Shell,"2401 San Mateo Blvd NE, Albuquerque, NM"
2018-11-02,2.65,7-Eleven,"1801 San Pedro Dr NE, Albuquerque, NM"
2018-11-02,2.79,Shell,"3008 San Mateo Blvd NE, Albuquerque, NM"
2018-11-02,2.58,L & M,"2930 San Mateo Blvd NE, Albuquerque, NM"
2018-11-02,2.71,Phillips 66,"7524 Menaul Blvd NE, Albuquerque, NM"
2018-11-02,2.58,Smith's,"6301 Lomas Blvd NE, Albuquerque, NM"
2018-11-02,2.68,Carl Mart,"2016 Carlisle Blvd NE, Albuquerque, NM"
2018-11-02,2.69,USA Gasoline,"3520 Menaul Blvd NE, Albuquerque, NM"
2018-11-02,2.75,Chevron,"2137 Carlisle Blvd NE, Albuquerque, NM"
2018-11-02,2.66,Circle K,"2019 Carlisle Blvd NE, Albuquerque, NM"
2018-11-02,2.61,7-Eleven,"4510 Lomas Blvd NE, Albuquerque, NM"
2018-11-02,2.54,Murphy Express,"2707 Carlisle Blvd NE, Albuquerque, NM"
2018-11-02,2.63,7-Eleven,"3610 Candelaria Rd NE, Albuquerque, NM"
2018-11-02,2.68,Smith's,"1313 Carlisle Blvd NE, Albuquerque, NM"
2018-11-02,2.73,Giant,"6104 Academy Rd NE, Albuquerque, NM"
2018-11-02,2.77,Mobil,"5500 San Mateo Blvd NE, Albuquerque, NM"
2018-11-02,2.71,Circle K,"5101 San Mateo Blvd NE, Albuquerque, NM"
2018-11-02,2.66,Phillips 66,"7000 Montgomery Blvd NE, Albuquerque, NM"
2018-11-02,2.69,Chevron,"6940 Montgomery Blvd NE, Albuquerque, NM"
2018-11-02,2.67,Smith's,"4016 Louisiana Blvd NE, Albuquerque, NM"
2018-11-02,2.73,Shell,"6821 San Mateo Blvd NE, Albuquerque, NM"
2018-11-02,2.74,7-Eleven,"6201 San Antonio Dr NE, Albuquerque, NM"
2018-11-02,2.74,Phillips 66,"6951 San Antonio Dr NE, Albuquerque, NM"
2018-11-02,2.79,Chevron,"4401 San Mateo Blvd NE, Albuquerque, NM"
2018-11-02,2.76,Chevron,"7330 San Antonio Dr NE, Albuquerque, NM"
2018-11-02,2.67,7-Eleven,"7525 Montgomery Blvd NE, Albuquerque, NM"
2018-11-02,2.67,Phillips 66,"5301 Wyoming Blvd NE, Albuquerque, NM"
2018-11-02,2.72,Circle K,"4300 Osuna Rd NE, Albuquerque, NM"
2018-11-02,2.74,Shell,"8101 Harper Rd NE, Albuquerque, NM"
2018-11-02,2.72,Valero,"4221 Osuna Rd NE, Albuquerque, NM"
2018-11-02,2.67,Shell,"8401 Montgomery Blvd NE, Albuquerque, NM"
2018-11-02,2.75,7-Eleven,"3808 Montgomery Blvd NE, Albuquerque, NM"
2018-11-02,2.63,Alon,"3600 Wyoming Blvd NE, Albuquerque, NM"
2018-11-02,2.79,Shell,"3008 San Mateo Blvd NE, Albuquerque, NM"
2018-11-02,2.73,Shell,"1305 S Solano Dr, Las Cruces, NM"
2018-11-02,2.69,Valero,"1401 E Lohman Ave, Las Cruces, NM"
2018-11-02,2.67,Giant,"2210 E Lohman Ave, Las Cruces, NM"
2018-11-02,2.69,Pic Quik,"1501 E Amador Ave, Las Cruces, NM"
2018-11-02,2.65,Circle K,"1305 El Paseo Rd, Las Cruces, NM"
2018-11-02,2.79,Pic Quik,"2240 Missouri Ave , Las Cruces, NM"
2018-11-02,2.73,Chevron,"2645 S Valley Dr, Las Cruces, NM"
2018-11-02,2.63,Murphy Express,"1290 S Valley Dr, Las Cruces, NM"
2018-11-02,2.67,Eagle Qwik Mart,"440 W Picacho Ave, Las Cruces, NM"
2018-11-02,2.79,Shell,"2512 E Lohman Ave , Las Cruces, NM"
2018-11-02,2.77,Mobil,"1685 E University Ave , Las Cruces, NM"
2018-11-02,2.69,Pic Quik,"825 Avenida De Mesilla, Las Cruces, NM"
2018-11-02,2.65,Circle K,"617 W Picacho Ave, Las Cruces, NM"
2018-11-02,2.79,Pic Quik,"1770 S Telshor Blvd , Las Cruces, NM"
2018-11-02,2.69,Dylan's,"1900 N Main St, Las Cruces, NM"
2018-11-02,2.79,Pic Quik,"3811 E Lohman Ave, Las Cruces, NM"
2018-11-02,2.79,Fill Up,"400 Lomas Blvd NE  , Albuquerque, NM"
2018-11-02,2.6,7-Eleven,"1111 Lomas Blvd NW, Albuquerque, NM"
2018-11-02,2.89,Chevron,"1301 Broadway Blvd SE, Albuquerque, NM"
2018-11-02,2.79,Broadway Xpress,"1401 Broadway Blvd SE, Albuquerque, NM"
2018-11-02,2.54,Valero,"511 Bridge St SW, Albuquerque, NM"
2018-11-02,2.6,7-Eleven,"1720 Central  Ave SE, Albuquerque, NM"
2018-11-02,2.59,Fuel Stop,"2034 2nd St NW , Albuquerque, NM"
2018-11-02,2.56,7-Eleven,"800 Bridge Blvd SW, Albuquerque, NM"
2018-11-02,2.49,Love's,"2200 6th St NW, Albuquerque, NM"
2018-11-02,2.54,Valero,"1425 University Blvd NE, Albuquerque, NM"
2018-11-02,2.57,VP Racing Fuels,"2309 Central Ave NW, Albuquerque, NM"
2018-11-02,2.69,Shell,"924 Rio Grande Blvd NW, Albuquerque, NM"
2018-11-02,2.58,4 Winds Travel Center,"2401 12th St NW, Albuquerque, NM"
2018-11-02,2.79,Fill Up,"2524 4th St NW, Albuquerque, NM"
2018-11-02,2.57,VP Racing Fuels,"2601 2nd St NW, Albuquerque, NM"
2018-11-02,2.68,Conoco,"9690 Golf Course Rd NW, Albuquerque, NM"
2018-11-02,2.67,Phillips 66,"9200 Eagle Ranch Rd NW, Albuquerque, NM"
2018-11-02,2.63,Smith's,"4800 McMahon Blvd NW, Albuquerque, NM"
2018-11-02,2.44,Costco,"9955 Coors Bypass NW, Albuquerque, NM"
2018-11-02,2.89,Chevron,"9400 Coors Blvd NW, Albuquerque, NM"
2018-11-02,2.55,VP Racing Fuels,"9160 Coors Blvd NW, Albuquerque, NM"
2018-11-02,2.68,Shell,"8311 Golf Course Rd NW, Albuquerque, NM"
2018-11-02,2.59,Valero,"5601 Paradise Blvd NW, Albuquerque, NM"
2018-11-02,2.69,Chevron,"5647 Paradise Blvd NW, Albuquerque, NM"
2018-11-02,2.44,Sam's Club,"10600 Coors Bypass NW, Albuquerque, NM"
2018-11-02,2.64,Phillips 66,"3622 Alameda Blvd NW, Albuquerque, NM"
2018-11-02,2.64,Conoco,"3603 Alameda Blvd NW, Albuquerque, NM"
2018-11-02,2.57,Valero,"10801 Unser Blvd NW, Albuquerque, NM"
2018-11-02,2.49,Latitudes,"2401 Rio Rancho Dr SE, Rio Rancho, NM"
2018-11-02,2.59,Valero,"10731 Corrales Rd, Albuquerque, NM"
2018-11-02,2.69,7-Eleven,"6921 Taylor Ranch Rd NW, Albuquerque, NM"
2018-11-02,2.59,7-Eleven,"2211 Unser Blvd SE, Rio Rancho, NM"
2018-11-02,2.62,Shell,"6570 Paradise Blvd NW, Albuquerque, NM"
2018-11-02,2.63,Conoco,"4300 Montano Rd NW, Albuquerque, NM"
2018-11-02,2.57,Alon,"1605 Indian School Rd NW, Albuquerque, NM"
2018-11-02,2.57,VP Racing Fuels,"2309 Central Ave NW, Albuquerque, NM"
2018-11-02,2.6,7-Eleven,"1111 Lomas Blvd NW, Albuquerque, NM"
2018-11-02,2.69,Shell,"924 Rio Grande Blvd NW, Albuquerque, NM"
2018-11-02,2.58,4 Winds Travel Center,"2401 12th St NW, Albuquerque, NM"
2018-11-02,2.49,Love's,"2200 6th St NW, Albuquerque, NM"
2018-11-02,2.59,Fuel Stop,"2034 2nd St NW , Albuquerque, NM"
2018-11-02,2.79,Fill Up,"2524 4th St NW, Albuquerque, NM"
2018-11-02,2.57,VP Racing Fuels,"2601 2nd St NW, Albuquerque, NM"
2018-11-02,2.62,Shell,"300 Lomas Blvd NE, Albuquerque, NM"
2018-11-02,2.79,Fill Up,"400 Lomas Blvd NE  , Albuquerque, NM"
2018-11-02,2.59,Fastrack Fuel,"4617 Central Ave NW, Albuquerque, NM"
2018-11-02,2.79,Chevron,"3641 12th St NW, Albuquerque, NM"
2018-11-02,2.64,Sinclair ,"1201 Candelaria Rd NW, Albuquerque, NM"
2018-11-02,2.69,Conoco,"135 Candelaria Rd NW, Albuquerque, NM"
2018-11-02,2.63,Mobil,"2930 Coors Blvd NW, Albuquerque, NM"
2018-11-02,2.63,Shell,"1524 Coors Blvd NW, Albuquerque, NM"
2018-11-02,2.79,Valero,"2721 Coors Blvd NW, Albuquerque, NM"
2018-11-02,2.69,Shell,"2932 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-02,2.66,Phillips 66,"9811 Montgomery Blvd NE, Albuquerque, NM"
2018-11-02,2.62,7-Eleven,"10320 Candelaria Rd NE, Albuquerque, NM"
2018-11-02,2.76,Chevron,"9633 Montgomery Blvd NE, Albuquerque, NM"
2018-11-02,2.59,Valero,"3700 Eubank Blvd NE, Albuquerque, NM"
2018-11-02,2.72,Valero,"12521 Menaul Blvd NE, Albuquerque, NM"
2018-11-02,2.59,Smith's,"5850 Eubank Blvd NE, Albuquerque, NM"
2018-11-02,2.63,Phillips 66 ,"2934 Eubank Blvd NE, Albuquerque, NM"
2018-11-02,2.68,7-Eleven,"10324 Menaul Blvd NE, Albuquerque, NM"
2018-11-02,2.59,Premier,"1734 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-02,2.67,Shell,"8401 Montgomery Blvd NE, Albuquerque, NM"
2018-11-02,2.63,Alon,"3600 Wyoming Blvd NE, Albuquerque, NM"
2018-11-02,2.67,Phillips 66,"5301 Wyoming Blvd NE, Albuquerque, NM"
2018-11-02,2.69,Phillips 66,"12900 Indian School Rd NE, Albuquerque, NM"
2018-11-02,2.68,Juan Tabo Food Mart,"1300 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-02,2.6,Alon,"2625 Wyoming Blvd NE, Albuquerque, NM"
2018-11-02,2.63,7-Eleven,"9215 Indian School Rd NE, Albuquerque, NM"
2018-11-02,2.62,7-Eleven,"3801 Central Ave NE, Albuquerque, NM"
2018-11-02,2.58,Smith's,"406 Yale Blvd SE, Albuquerque, NM"
2018-11-02,2.61,7-Eleven,"4510 Lomas Blvd NE, Albuquerque, NM"
2018-11-02,2.6,7-Eleven,"1010 Yale Blvd SE, Albuquerque, NM"
2018-11-02,2.58,Shell,"5210 Central Ave SE, Albuquerque, NM"
2018-11-02,2.68,Smith's,"1313 Carlisle Blvd NE, Albuquerque, NM"
2018-11-02,2.6,7-Eleven,"1720 Central  Ave SE, Albuquerque, NM"
2018-11-02,2.54,Murphy Express,"5400 Zuni Rd SE, Albuquerque, NM"
2018-11-02,2.6,7-Eleven,"5720 Zuni Rd SE, Albuquerque, NM"
2018-11-02,2.74,7-Eleven,"5401 Kathryn Ave SE, Albuquerque, NM"
2018-11-02,2.66,Circle K,"2019 Carlisle Blvd NE, Albuquerque, NM"
2018-11-02,2.68,Carl Mart,"2016 Carlisle Blvd NE, Albuquerque, NM"
2018-11-02,2.59,Circle K,"6300 Central Ave SE, Albuquerque, NM"
2018-11-02,2.58,Smith's,"6301 Lomas Blvd NE, Albuquerque, NM"
2018-11-02,2.75,Chevron,"2137 Carlisle Blvd NE, Albuquerque, NM"
2018-11-03,2.58,Smith's,"6301 Lomas Blvd NE, Albuquerque, NM"
2018-11-03,2.59,Valero,"4420 Zuni Rd SE, Albuquerque, NM"
2018-11-03,2.65,Circle K,"6300 Central Ave SE, Albuquerque, NM"
2018-11-03,2.52,Murphy Express,"5400 Zuni Rd SE, Albuquerque, NM"
2018-11-03,2.61,7-Eleven,"4510 Lomas Blvd NE, Albuquerque, NM"
2018-11-03,2.58,Shell,"5210 Central Ave SE, Albuquerque, NM"
2018-11-03,2.62,7-Eleven,"3801 Central Ave NE, Albuquerque, NM"
2018-11-03,2.74,7-Eleven,"5401 Kathryn Ave SE, Albuquerque, NM"
2018-11-03,2.65,7-Eleven,"1801 San Pedro Dr NE, Albuquerque, NM"
2018-11-03,2.89,Gibson FoodMart,"5501 Gibson Blvd SE, Albuquerque, NM"
2018-11-03,2.68,Smith's,"1313 Carlisle Blvd NE, Albuquerque, NM"
2018-11-03,2.74,Chevron,"2124 San Mateo Blvd NE, Albuquerque, NM"
2018-11-03,2.79,Shell,"2401 San Mateo Blvd NE, Albuquerque, NM"
2018-11-03,2.72,Phillips 66,"900 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-03,2.68,7-Eleven,"10324 Menaul Blvd NE, Albuquerque, NM"
2018-11-03,2.68,Juan Tabo Food Mart,"1300 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-03,2.65,7-Eleven,"1401 Eubank Blvd NE, Albuquerque, NM"
2018-11-03,2.59,Premier,"1734 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-03,2.66,Phillips 66,"900 Eubank Blvd NE, Albuquerque, NM"
2018-11-03,2.63,7-Eleven,"9215 Indian School Rd NE, Albuquerque, NM"
2018-11-03,2.72,Texaco,"845 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-03,2.59,Valero,"1715 Moon St NE, Albuquerque, NM"
2018-11-03,2.7,7-Eleven,"12000 Menaul Blvd NE, Albuquerque, NM"
2018-11-03,2.67,Phillips 66,"12900 Indian School Rd NE, Albuquerque, NM"
2018-11-03,2.44,Sam's Club,"300 Eubank Blvd NE, Albuquerque, NM"
2018-11-03,2.7,7-Eleven,"12000 Menaul Blvd NE, Albuquerque, NM"
2018-11-03,2.62,7-Eleven,"10320 Candelaria Rd NE, Albuquerque, NM"
2018-11-03,2.65,Phillips 66,"1331 Wyoming Blvd NE, Albuquerque, NM"
2018-11-03,2.67,Phillips 66,"1200 Wyoming Blvd NE, Albuquerque, NM"
2018-11-03,2.63,Phillips 66 ,"2934 Eubank Blvd NE, Albuquerque, NM"
2018-11-03,2.69,Shell,"2932 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-03,2.55,Valero,"10315 Central Ave NE, Albuquerque, NM"
2018-11-03,2.79,Shell,"2401 San Mateo Blvd NE, Albuquerque, NM"
2018-11-03,2.74,Chevron,"2124 San Mateo Blvd NE, Albuquerque, NM"
2018-11-03,2.69,Valero,"6920 Menaul Blvd NE, Albuquerque, NM"
2018-11-03,2.65,7-Eleven,"1801 San Pedro Dr NE, Albuquerque, NM"
2018-11-03,2.79,Shell,"3008 San Mateo Blvd NE, Albuquerque, NM"
2018-11-03,2.58,L & M,"2930 San Mateo Blvd NE, Albuquerque, NM"
2018-11-03,2.68,Phillips 66,"7524 Menaul Blvd NE, Albuquerque, NM"
2018-11-03,2.58,Smith's,"6301 Lomas Blvd NE, Albuquerque, NM"
2018-11-03,2.66,Circle K,"2019 Carlisle Blvd NE, Albuquerque, NM"
2018-11-03,2.68,Carl Mart,"2016 Carlisle Blvd NE, Albuquerque, NM"
2018-11-03,2.69,USA Gasoline,"3520 Menaul Blvd NE, Albuquerque, NM"
2018-11-03,2.72,Chevron,"2137 Carlisle Blvd NE, Albuquerque, NM"
2018-11-03,2.52,Murphy Express,"2707 Carlisle Blvd NE, Albuquerque, NM"
2018-11-03,2.61,7-Eleven,"4510 Lomas Blvd NE, Albuquerque, NM"
2018-11-03,2.53,7-Eleven,"3610 Candelaria Rd NE, Albuquerque, NM"
2018-11-03,2.68,Smith's,"1313 Carlisle Blvd NE, Albuquerque, NM"
2018-11-03,2.72,Circle K,"5501 Academy Rd NE, Albuquerque, NM"
2018-11-03,2.71,Circle K,"5101 San Mateo Blvd NE, Albuquerque, NM"
2018-11-03,2.69,Shell,"6821 San Mateo Blvd NE, Albuquerque, NM"
2018-11-03,2.67,Smith's,"4016 Louisiana Blvd NE, Albuquerque, NM"
2018-11-03,2.66,Phillips 66,"7000 Montgomery Blvd NE, Albuquerque, NM"
2018-11-03,2.74,7-Eleven,"6201 San Antonio Dr NE, Albuquerque, NM"
2018-11-03,2.69,Chevron,"6940 Montgomery Blvd NE, Albuquerque, NM"
2018-11-03,2.76,Chevron,"7330 San Antonio Dr NE, Albuquerque, NM"
2018-11-03,2.74,Phillips 66,"6951 San Antonio Dr NE, Albuquerque, NM"
2018-11-03,2.67,7-Eleven,"7525 Montgomery Blvd NE, Albuquerque, NM"
2018-11-03,2.76,Chevron,"7330 San Antonio Dr NE, Albuquerque, NM"
2018-11-03,2.72,Circle K,"4300 Osuna Rd NE, Albuquerque, NM"
2018-11-03,2.67,Phillips 66,"5301 Wyoming Blvd NE, Albuquerque, NM"
2018-11-03,2.72,Valero,"4221 Osuna Rd NE, Albuquerque, NM"
2018-11-03,2.74,Shell,"8101 Harper Rd NE, Albuquerque, NM"
2018-11-03,2.67,Shell,"8401 Montgomery Blvd NE, Albuquerque, NM"
2018-11-03,2.75,7-Eleven,"3808 Montgomery Blvd NE, Albuquerque, NM"
2018-11-03,2.63,Alon,"3600 Wyoming Blvd NE, Albuquerque, NM"
2018-11-03,2.79,Shell,"3008 San Mateo Blvd NE, Albuquerque, NM"
2018-11-03,2.67,Giant,"2210 E Lohman Ave, Las Cruces, NM"
2018-11-03,2.69,Pic Quik,"1501 E Amador Ave, Las Cruces, NM"
2018-11-03,2.69,Valero,"1401 E Lohman Ave, Las Cruces, NM"
2018-11-03,2.65,Circle K,"1305 El Paseo Rd, Las Cruces, NM"
2018-11-03,2.67,Sunoco,"1260 El Paseo Rd, Las Cruces, NM"
2018-11-03,2.79,Pic Quik,"955 Walnut St, Las Cruces, NM"
2018-11-03,2.79,Pic Quik,"2240 Missouri Ave , Las Cruces, NM"
2018-11-03,2.63,Murphy Express,"1290 S Valley Dr, Las Cruces, NM"
2018-11-03,2.63,Murphy Express,"1290 S Valley Dr, Las Cruces, NM"
2018-11-03,2.79,One Stop Convenience,"960 S Valley Dr, Las Cruces, NM"
2018-11-03,2.67,Eagle Qwik Mart,"440 W Picacho Ave, Las Cruces, NM"
2018-11-03,2.79,Shell,"2512 E Lohman Ave , Las Cruces, NM"
2018-11-03,2.77,Mobil,"1685 E University Ave , Las Cruces, NM"
2018-11-03,2.69,Pic Quik,"825 Avenida De Mesilla, Las Cruces, NM"
2018-11-03,2.65,Circle K,"617 W Picacho Ave, Las Cruces, NM"
2018-11-03,2.79,Pic Quik,"1770 S Telshor Blvd , Las Cruces, NM"
2018-11-03,2.79,Pic Quik,"3811 E Lohman Ave, Las Cruces, NM"
2018-11-03,2.79,Fill Up,"400 Lomas Blvd NE  , Albuquerque, NM"
2018-11-03,2.6,7-Eleven,"1111 Lomas Blvd NW, Albuquerque, NM"
2018-11-03,2.79,Broadway Xpress,"1401 Broadway Blvd SE, Albuquerque, NM"
2018-11-03,2.89,Chevron,"1301 Broadway Blvd SE, Albuquerque, NM"
2018-11-03,2.53,Valero,"511 Bridge St SW, Albuquerque, NM"
2018-11-03,2.6,7-Eleven,"1720 Central  Ave SE, Albuquerque, NM"
2018-11-03,2.59,Fuel Stop,"2034 2nd St NW , Albuquerque, NM"
2018-11-03,2.56,7-Eleven,"800 Bridge Blvd SW, Albuquerque, NM"
2018-11-03,2.56,7-Eleven,"800 Bridge Blvd SW, Albuquerque, NM"
2018-11-03,2.57,VP Racing Fuels,"2309 Central Ave NW, Albuquerque, NM"
2018-11-03,2.54,Valero,"1425 University Blvd NE, Albuquerque, NM"
2018-11-03,2.69,Shell,"924 Rio Grande Blvd NW, Albuquerque, NM"
2018-11-03,2.79,Fill Up,"2524 4th St NW, Albuquerque, NM"
2018-11-03,2.58,4 Winds Travel Center,"2401 12th St NW, Albuquerque, NM"
2018-11-03,2.58,Smith's,"406 Yale Blvd SE, Albuquerque, NM"
2018-11-03,2.58,Phillips 66,"9200 Eagle Ranch Rd NW, Albuquerque, NM"
2018-11-03,2.59,Smith's,"9201 Golf Course Rd NW, Albuquerque, NM"
2018-11-03,2.59,Smith's,"4800 McMahon Blvd NW, Albuquerque, NM"
2018-11-03,2.59,Shell,"8311 Golf Course Rd NW, Albuquerque, NM"
2018-11-03,2.55,VP Racing Fuels,"9160 Coors Blvd NW, Albuquerque, NM"
2018-11-03,2.39,Costco,"9955 Coors Bypass NW, Albuquerque, NM"
2018-11-03,2.44,Sam's Club,"10600 Coors Bypass NW, Albuquerque, NM"
2018-11-03,2.64,Phillips 66,"3622 Alameda Blvd NW, Albuquerque, NM"
2018-11-03,2.64,Conoco,"3603 Alameda Blvd NW, Albuquerque, NM"
2018-11-03,2.53,Valero,"10801 Unser Blvd NW, Albuquerque, NM"
2018-11-03,2.49,Latitudes,"2401 Rio Rancho Dr SE, Rio Rancho, NM"
2018-11-03,2.59,Valero,"10731 Corrales Rd, Albuquerque, NM"
2018-11-03,2.69,7-Eleven,"6921 Taylor Ranch Rd NW, Albuquerque, NM"
2018-11-03,2.63,7-Eleven,"2211 Unser Blvd SE, Rio Rancho, NM"
2018-11-03,2.59,Shell,"6570 Paradise Blvd NW, Albuquerque, NM"
2018-11-03,2.63,Conoco,"4300 Montano Rd NW, Albuquerque, NM"
2018-11-03,2.57,VP Racing Fuels,"2309 Central Ave NW, Albuquerque, NM"
2018-11-03,2.58,4 Winds Travel Center,"2401 12th St NW, Albuquerque, NM"
2018-11-03,2.6,7-Eleven,"1111 Lomas Blvd NW, Albuquerque, NM"
2018-11-03,2.49,Love's,"2200 6th St NW, Albuquerque, NM"
2018-11-03,2.79,Fill Up,"2524 4th St NW, Albuquerque, NM"
2018-11-03,2.59,Fuel Stop,"2034 2nd St NW , Albuquerque, NM"
2018-11-03,2.57,VP Racing Fuels,"2601 2nd St NW, Albuquerque, NM"
2018-11-03,2.62,Shell,"300 Lomas Blvd NE, Albuquerque, NM"
2018-11-03,2.79,Fill Up,"400 Lomas Blvd NE  , Albuquerque, NM"
2018-11-03,2.79,Chevron,"3641 12th St NW, Albuquerque, NM"
2018-11-03,2.64,Sinclair ,"1201 Candelaria Rd NW, Albuquerque, NM"
2018-11-03,2.59,Fastrack Fuel,"4617 Central Ave NW, Albuquerque, NM"
2018-11-03,2.69,Conoco,"135 Candelaria Rd NW, Albuquerque, NM"
2018-11-03,2.63,Mobil,"2930 Coors Blvd NW, Albuquerque, NM"
2018-11-03,2.63,Shell,"1524 Coors Blvd NW, Albuquerque, NM"
2018-11-03,2.53,Valero,"511 Bridge St SW, Albuquerque, NM"
2018-11-03,2.69,Shell,"2932 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-03,2.66,Phillips 66,"9811 Montgomery Blvd NE, Albuquerque, NM"
2018-11-03,2.62,7-Eleven,"10320 Candelaria Rd NE, Albuquerque, NM"
2018-11-03,2.76,Chevron,"9633 Montgomery Blvd NE, Albuquerque, NM"
2018-11-03,2.7,7-Eleven,"12000 Menaul Blvd NE, Albuquerque, NM"
2018-11-03,2.59,Smith's,"5850 Eubank Blvd NE, Albuquerque, NM"
2018-11-03,2.59,Valero,"3700 Eubank Blvd NE, Albuquerque, NM"
2018-11-03,2.69,Valero,"12521 Menaul Blvd NE, Albuquerque, NM"
2018-11-03,2.63,Phillips 66 ,"2934 Eubank Blvd NE, Albuquerque, NM"
2018-11-03,2.68,7-Eleven,"10324 Menaul Blvd NE, Albuquerque, NM"
2018-11-03,2.59,Premier,"1734 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-03,2.67,Shell,"8401 Montgomery Blvd NE, Albuquerque, NM"
2018-11-03,2.63,Alon,"3600 Wyoming Blvd NE, Albuquerque, NM"
2018-11-03,2.61,Economy,"8920 Menaul Blvd NE, Albuquerque, NM"
2018-11-03,2.67,Phillips 66,"12900 Indian School Rd NE, Albuquerque, NM"
2018-11-03,2.67,Phillips 66,"5301 Wyoming Blvd NE, Albuquerque, NM"
2018-11-03,2.68,Juan Tabo Food Mart,"1300 Juan Tabo Blvd NE, Albuquerque, NM"
2018-11-03,2.6,Alon,"2625 Wyoming Blvd NE, Albuquerque, NM"
2018-11-03,2.63,7-Eleven,"9215 Indian School Rd NE, Albuquerque, NM"
2018-11-03,2.62,7-Eleven,"3801 Central Ave NE, Albuquerque, NM"
2018-11-03,2.58,Smith's,"406 Yale Blvd SE, Albuquerque, NM"
2018-11-03,2.6,7-Eleven,"1010 Yale Blvd SE, Albuquerque, NM"
2018-11-03,2.61,7-Eleven,"4510 Lomas Blvd NE, Albuquerque, NM"
2018-11-03,2.58,Shell,"5210 Central Ave SE, Albuquerque, NM"
2018-11-03,2.68,Smith's,"1313 Carlisle Blvd NE, Albuquerque, NM"
2018-11-03,2.6,7-Eleven,"1720 Central  Ave SE, Albuquerque, NM"
2018-11-03,2.52,Murphy Express,"5400 Zuni Rd SE, Albuquerque, NM"
2018-11-03,2.6,7-Eleven,"5720 Zuni Rd SE, Albuquerque, NM"
2018-11-03,2.74,7-Eleven,"5401 Kathryn Ave SE, Albuquerque, NM"
2018-11-03,2.66,Circle K,"2019 Carlisle Blvd NE, Albuquerque, NM"
2018-11-03,2.68,Carl Mart,"2016 Carlisle Blvd NE, Albuquerque, NM"
2018-11-03,2.65,Circle K,"6300 Central Ave SE, Albuquerque, NM"
2018-11-03,2.58,Smith's,"6301 Lomas Blvd NE, Albuquerque, NM"
2018-11-03,2.72,Chevron,"2137 Carlisle Blvd NE, Albuquerque, NM"
2018-11-04,2.6,7-Eleven,"5720 Zuni Rd SE, Albuquerque, NM"
2018-11-04,2.58,Smith's,"6301 Lomas Blvd NE, Albuquerque, NM"
2018-11-04,2.59,Valero,"4420 Zuni Rd SE, Albuquerque, NM"
2018-11-04,2.54,Circle K,"6300 Central Ave SE, Albuquerque, NM"
2018-11-04,2.5,Murphy Express,"5400 Zuni Rd SE, Albuquerque, NM"
2018-11-04,2.61,7-Eleven,"4510 Lomas Blvd NE, Albuquerque, NM"
2018-11-04,2.62,7-Eleven,"3801 Central Ave NE, Albuquerque, NM"
